order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
2022-07-29,2022,3,7,July,Asia Pacific,China,Office Supplies,Binders,Consumer,18,6.7,120.6,71.06,49.54,0.4108
2024-05-09,2024,2,5,May,North America,United States,Electronics,Phones,Corporate,8,676.75,5414.0,3748.27,1665.73,0.3077
2023-03-17,2023,1,3,March,Asia Pacific,Japan,Office Supplies,Writing,Consumer,11,2.94,32.34,18.61,13.73,0.4246
2022-09-13,2022,3,9,September,Europe,France,Office Supplies,Paper,Small Business,13,5.13,66.69,36.46,30.23,0.4533
2023-04-12,2023,2,4,April,Asia Pacific,India,Office Supplies,Paper,Consumer,10,29.6,296.0,216.75,79.25,0.2677
2023-12-29,2023,4,12,December,Asia Pacific,Australia,Electronics,Accessories,Consumer,7,103.82,726.74,583.19,143.55,0.1975
2023-05-17,2023,2,5,May,Asia Pacific,China,Office Supplies,Binders,Corporate,6,18.33,109.98,59.29,50.69,0.4609
2022-04-25,2022,2,4,April,Latin America,Peru,Electronics,Accessories,Small Business,8,125.05,1000.4,829.64,170.76,0.1707
2024-10-19,2024,4,10,October,Europe,United Kingdom,Electronics,Accessories,Consumer,13,133.86,1740.18,1369.77,370.41,0.2129
2024-05-27,2024,2,5,May,North America,United States,Electronics,Accessories,Small Business,13,60.68,788.84,693.63,95.21,0.1207
2022-11-10,2022,4,11,November,North America,Canada,Electronics,Phones,Small Business,6,1002.48,6014.88,4389.43,1625.45,0.2702
2022-01-24,2022,1,1,January,North America,Canada,Office Supplies,Appliances,Corporate,4,210.88,843.52,529.06,314.46,0.3728
2024-07-18,2024,3,7,July,North America,Mexico,Furniture,Tables,Consumer,1,1052.89,1052.89,828.08,224.81,0.2135
2023-09-04,2023,3,9,September,North America,Mexico,Clothing,Men,Small Business,17,113.52,1929.84,866.32,1063.52,0.5511
2024-09-27,2024,3,9,September,Asia Pacific,Singapore,Clothing,Men,Corporate,1,29.02,29.02,14.98,14.04,0.4838
2022-06-11,2022,2,6,June,Latin America,Chile,Electronics,Laptops,Small Business,3,1990.62,5971.86,4969.58,1002.28,0.1678
2022-12-05,2022,4,12,December,Latin America,Peru,Clothing,Women,Corporate,9,120.81,1087.29,645.97,441.32,0.4059
2024-03-28,2024,1,3,March,Latin America,Peru,Office Supplies,Binders,Corporate,12,17.58,210.96,130.96,80.0,0.3792
2023-04-17,2023,2,4,April,North America,United States,Electronics,Phones,Corporate,8,256.83,2054.64,1652.01,402.63,0.196
2023-05-03,2023,2,5,May,North America,United States,Clothing,Kids,Consumer,9,82.93,746.37,349.72,396.65,0.5314
2024-04-13,2024,2,4,April,North America,Mexico,Office Supplies,Binders,Small Business,7,6.92,48.44,32.33,16.11,0.3326
2022-07-21,2022,3,7,July,Europe,Spain,Furniture,Chairs,Corporate,2,248.32,496.64,318.65,177.99,0.3584
2023-01-11,2023,1,1,January,Asia Pacific,Japan,Electronics,Wearables,Consumer,9,343.7,3093.3,2621.16,472.14,0.1526
2023-04-30,2023,2,4,April,North America,Mexico,Electronics,Phones,Home Office,6,636.09,3816.54,2843.91,972.63,0.2548
2023-06-28,2023,2,6,June,Asia Pacific,China,Electronics,Phones,Home Office,15,520.99,7814.85,6260.58,1554.27,0.1989
2023-08-31,2023,3,8,August,Asia Pacific,Singapore,Office Supplies,Appliances,Consumer,7,291.24,2038.68,1307.06,731.62,0.3589
2024-12-23,2024,4,12,December,Europe,France,Electronics,Wearables,Corporate,6,112.42,674.52,507.26,167.26,0.248
2023-05-20,2023,2,5,May,Asia Pacific,China,Office Supplies,Binders,Consumer,2,23.2,46.4,27.3,19.1,0.4116
2023-10-06,2023,4,10,October,Europe,Italy,Furniture,Tables,Consumer,8,350.93,2807.44,1643.3,1164.14,0.4147
2022-07-24,2022,3,7,July,Asia Pacific,Australia,Furniture,Chairs,Consumer,3,316.51,949.53,651.94,297.59,0.3134
2022-11-20,2022,4,11,November,North America,Canada,Clothing,Women,Consumer,15,185.09,2776.35,1735.59,1040.76,0.3749
2022-08-01,2022,3,8,August,Asia Pacific,Singapore,Electronics,Accessories,Home Office,5,47.03,235.15,200.19,34.96,0.1487
2023-02-21,2023,1,2,February,Asia Pacific,Japan,Electronics,Laptops,Corporate,9,1560.28,14042.52,9623.22,4419.3,0.3147
2022-04-01,2022,2,4,April,Latin America,Brazil,Electronics,Wearables,Small Business,1,270.13,270.13,176.67,93.46,0.346
2022-08-18,2022,3,8,August,Latin America,Argentina,Office Supplies,Appliances,Corporate,3,284.61,853.83,578.93,274.9,0.322
2022-03-27,2022,1,3,March,North America,United States,Clothing,Women,Consumer,10,86.58,865.8,604.84,260.96,0.3014
2022-07-30,2022,3,7,July,Latin America,Brazil,Clothing,Women,Corporate,12,173.82,2085.84,1424.47,661.37,0.3171
2022-12-29,2022,4,12,December,Europe,Italy,Office Supplies,Binders,Small Business,14,4.77,66.78,46.28,20.5,0.307
2022-08-10,2022,3,8,August,Europe,Spain,Clothing,Women,Consumer,13,193.16,2511.08,1694.35,816.73,0.3253
2023-01-31,2023,1,1,January,North America,Canada,Furniture,Desks,Consumer,13,540.18,7022.34,5501.13,1521.21,0.2166
2023-11-10,2023,4,11,November,Latin America,Chile,Furniture,Storage,Corporate,1,107.28,107.28,87.11,20.17,0.188
2023-10-05,2023,4,10,October,North America,Canada,Electronics,Wearables,Consumer,14,425.54,5957.56,4485.86,1471.7,0.247
2022-01-04,2022,1,1,January,Europe,Italy,Electronics,Phones,Corporate,17,1129.3,19198.1,14590.51,4607.59,0.24
2023-11-08,2023,4,11,November,Asia Pacific,Japan,Furniture,Chairs,Home Office,11,380.01,4180.11,2439.72,1740.39,0.4164
2023-08-29,2023,3,8,August,Latin America,Peru,Furniture,Storage,Consumer,18,115.28,2075.04,1376.83,698.21,0.3365
2022-01-01,2022,1,1,January,Latin America,Argentina,Office Supplies,Writing,Consumer,10,6.45,64.5,38.18,26.32,0.4081
2024-11-12,2024,4,11,November,Europe,France,Furniture,Storage,Corporate,16,561.8,8988.8,7273.33,1715.47,0.1908
2023-04-27,2023,2,4,April,Asia Pacific,China,Electronics,Accessories,Consumer,10,41.45,414.5,278.45,136.05,0.3282
2023-02-03,2023,1,2,February,North America,United States,Clothing,Men,Consumer,13,94.04,1222.52,584.46,638.06,0.5219
2023-03-25,2023,1,3,March,Asia Pacific,China,Clothing,Men,Small Business,6,146.7,880.2,548.09,332.11,0.3773
2024-08-09,2024,3,8,August,Europe,Italy,Electronics,Phones,Consumer,17,1188.5,20204.5,15654.8,4549.7,0.2252
2024-07-02,2024,3,7,July,Latin America,Colombia,Office Supplies,Appliances,Small Business,6,228.22,1369.32,830.69,538.63,0.3934
